id,sku,name,oldStatus,newStatus,manageStock,stockQuantity,postStatus
54467,F286591-PK,F286591-PK - 24K Single Rose W/ KY Box Pink - 1/pk 100bx/cs cs.100,instock,outofstock,false,,draft
54466,F286591-Clear,F286591-Clear - 24K Single Rose W/ KY Box Clear - 1/pk 100bx/cs cs.100,instock,outofstock,false,,draft
54456,T642003A,T642003A - White Mountable Electric Fan - 1/pk 40bx/cs cs.40,instock,outofstock,false,,draft
54450,T641546-1,T641546-1 - Clear Watermelon Print Fan - 12/pk 25bx/cs cs.288,instock,outofstock,false,,draft
54431,T641495,Safari Bamboo Dinnerware 5 Piece Set - 1/pk 20bx/cs cs.20set,instock,outofstock,true,2000,publish
54422,T640819,Monkey Bamboo Dinnerware 5 Piece Set - 1/pk 20bx/cs cs.20set,instock,outofstock,true,2000,publish
54417,T641429,Mermaid Light Up Tumblers - 12/pk 4bx/cs cs.48,instock,outofstock,true,2000,publish
54388,T642180,Bow Limbing Tumbler - 1/pk 20bx/cs cs.20,instock,outofstock,true,2000,publish
54386,T641593,Bamboo Whale Single Plate - 12/pk 4bx/cs cs.48,instock,outofstock,true,2000,publish
54385,T641585,Bamboo Stegosaurus Single Plate - 12/pk 4bx/cs cs.48,instock,outofstock,true,2000,publish
54381,T641581,Bamboo Lady Bug Single Plate - 12/pk 4bx/cs cs.48,instock,outofstock,true,2000,publish
54380,T641588,Bamboo Giraffe Single Plate - 12/pk 4bx/cs cs.48,instock,outofstock,true,2000,publish
54376,T641586,Bamboo Baby Frog Single Plate - 12/pk 4bx/cs cs.48,instock,outofstock,true,2000,publish
54366,C801021,10ea/set Make Up Brush 3 Color - 12/pk 15bx/cs cs.180,instock,outofstock,true,2000,publish
54363,F286557-RD,F286557-RD - Triple Red Holographic Rose Dome With Lights - 1/pk 18bx/cs cs.18,instock,outofstock,false,,draft
54362,F286557-PK,F286557-PK - Triple Pink Holographic Rose Dome With Lights - 1/pk 18bx/cs cs.18,instock,outofstock,false,,draft
54360,F286557-CL,F286557-CL - Triple Clear Holographic Rose Dome With Lights - 1/pk 18bx/cs cs.18,instock,outofstock,false,,draft
54359,F286557-BU,F286557-BU - Triple Blue Holographic Rose Dome With Lights - 1/pk 18bx/cs cs.18,instock,outofstock,false,,draft
54353,F286459-Fu,F286459-Fu - Preserved Rose Bear Fuchsia - 30ea 27X16X18 29LBS - 1/pk 30bx/cs cs.30,instock,outofstock,false,,draft
54352,F286459-R,F286459-R - Preserved Rose Bear Dome with Lights Red - 27x16x18 29 lbs - 1/pk 30bx/cs cs.30,instock,outofstock,false,,draft
54351,F286459-P,F286459-P - Preserved Rose Bear Dome Pink - 1/pk 30bx/cs cs.30,instock,outofstock,false,,draft
54350,F286521,F286521 - Pink LED Flower Strip - 6/pk 4bx/cs cs.24,instock,outofstock,false,,draft
54349,F286388-PUR,F286388-PUR - FLower Dome Purple - 1/pk 40bx/cs cs.40,instock,outofstock,false,,draft
54348,F286388-PK,F286388-PK - Flower Dome Pink - 1/pk 40bx/cs cs.40,instock,outofstock,false,,draft
